                     Force(x),                      Force(y),                      Force(z),                    Force(Net),                   Velocity(x),                   Velocity(y),                   Velocity(z),                 Velocity(Net),                   Position(x),                   Position(y),                   Position(z),                          Time,
        2.5514631702608403e-11          1.218391051206053e-08         2.5514656732321072e-11         1.4844897736003817e-16             45.000000620911905              45.00026926940914          6.209125462432523e-07             4050.0242902014006               315.315318309178              315.3166639626242         2.9938658488369376e-06             13.013013013013014
         2.551466515087916e-11         1.2183906057653782e-08         2.5514690180631476e-11         1.4844886881928532e-16             45.000000441104646             45.000141326357536          4.411051042707428e-07               4050.01275909157              315.3153174018484               315.315887509649         2.0865352272589065e-06             14.014014014014016
         2.208343960719151e-11         1.0876102520041275e-08         2.2083460290540786e-11         1.1829058138397147e-16              45.00000064645211               45.0002814655113          6.464527766542948e-07             4050.0253901559304             360.36036398853935             360.36198465077257         3.6281828272641387e-06             15.015015015015017
        2.2083471609728698e-11         1.0876099087673137e-08          2.208349229311783e-11         1.1829050672523464e-16              45.00000046321019              45.00015221334704            4.6321067012714e-07             4050.0137409133204             360.36036289950346              360.3610794714631         2.5391457249555445e-06             16.016016016016017
         1.911291692257141e-11          9.781567781662924e-09          1.911293369527817e-11          9.567979887509385e-17              45.00000066855768             45.000292352497375          6.685583745453036e-07             4050.0263719804257              405.4054096917475              405.4073168920182          4.286346566603277e-06             17.017017017017018
        1.9112948489879793e-11          9.781565393068916e-09         1.9112965262626986e-11          9.567975214912457e-17             45.000000482342244              45.00016200470618          4.823427358881792e-07             4050.0146238606044             405.40540841779796             405.40628178280105          3.012395677916165e-06              18.01801801801802
        1.6472501391972482e-11          8.839724044749195e-09         1.6472514660118614e-11          7.814126387435842e-17              45.00000068768976              45.00030214385413          6.876904719052907e-07              4050.027254930242             450.45045541559506             450.45265948278467          4.965149793055026e-06              19.01901901901902
          1.64725327787615e-11          8.839722630464322e-09          1.647254604694765e-11          7.814123887265247e-17             45.000000498831234               45.0001708532788          4.988317395519616e-07              4050.015421719095              450.4504539539208             450.45149342343416         3.5034739939522713e-06              20.02002002002002
          1.41107526430659e-11          8.016098126274539e-09         1.4110762860105085e-11          6.425822739703082e-17              45.00000070417879              45.00031099242533          7.041795069873203e-07             4050.0280527910877               495.495501157271             495.49801140284444          5.661781414122398e-06             21.021021021021024
        1.4110783614042834e-11          8.016097569509102e-09         1.4110793831119937e-11          6.425821847260648e-17              45.00000051295611             45.000178877401055          5.129566272998146e-07              4050.016145164143             495.49549950536596              495.4967135088595          4.009874577962169e-06             22.022022022022025
        1.2011300302040975e-11          7.289183182645781e-09         1.2011307969201401e-11         5.3132480013020146e-17             45.000000718303696              45.00031901654702          7.183044257371901e-07             4050.0287762383364              540.5405469142693              540.5433717676955          6.373735334404936e-06             23.023023023023026
        1.2011330363676945e-11          7.289183349209941e-09         1.2011338030871535e-11          5.313248244269786e-17             45.000000524979434              45.00018617388072          5.249799586003165e-07             4050.0168029320753              540.5405450698983              540.5419412622538         4.5293623586929655e-06             24.024024024024026
        1.0168204803817936e-11          6.644182986704274e-09         1.0168210430646384e-11         4.4145374345702816e-17              45.00000073032705              45.00032631302685          7.303277871294539e-07              4050.029434008332              585.5855926843548              585.5887398005152          7.098776481985839e-06             25.025025025025027
        1.0168233405479629e-11          6.644183743270635e-09         1.0168239032337379e-11          4.414538440039739e-17              45.00000053515782              45.00019282471454          5.351583474197823e-07              4050.017402425694              585.5855906455425              585.5871759962854         5.0599621114557776e-06             26.026026026026027
         8.573276597744151e-12          6.069978987962334e-09          8.573280656002874e-12         3.6844791916517064e-17              45.00000074050546             45.000332963861425           7.40506204579241e-07              4050.030033503886              630.6306384655522              630.6341148139728          7.834929630989189e-06             27.027027027027028
         8.573303275928722e-12          6.069980211992797e-09           8.57330733421151e-12          3.684480677711183e-17             45.000000543739674              45.00019890076958          5.437402099383036e-07             4050.0179500453955              630.6306362305763              630.6324171001313          5.599951379402767e-06             28.028028028028032
        7.2115711561321524e-12           5.55763762518518e-09          7.211574048013267e-12          3.088743998643276e-17              45.00000074908735              45.00033903991769           7.49088093802676e-07             4050.0305811254025              675.6756842561392              675.6794961972456          8.580472322872031e-06             29.029029029029033
         7.211595606993722e-12          5.557639209403177e-09          7.211598498893926e-12         3.0887457596159676e-17              45.00000055095846             45.000204463970405          5.509590027791578e-07              4050.018451385404              675.6756818235183              675.6776640294306           6.14784888326536e-06             30.030030030030034
         6.061816985828911e-12          5.099660968245939e-09          6.061819032199945e-12         2.6006615482326252e-17             45.000000756306164             45.000344603120105          7.563069111188862e-07             4050.0310824671164              720.7207300546345              720.7248834059733          9.333923276286227e-06             31.031031031031034
         6.061839075752046e-12          5.099662821797943e-09         6.0618411221378244e-12          2.600663438783893e-17              45.00000055702635              45.00020956873614          5.570268896982769e-07             4050.0189113625433              720.7207274231102              720.7229162980525           6.70239637699781e-06             32.032032032032035
         5.098967469517412e-12          4.689596503919318e-09         5.0989689137936824e-12          2.199236736852553e-17              45.00000076237407              45.00034970788769          7.623748201500552e-07             4050.0315424458554              765.7657758597798              765.7702759540252         1.0094024242887298e-05             33.033033033033036
        5.0989872077543585e-12         4.6895985516913415e-09         5.0989886520418056e-12          2.199238657538135e-17              45.00000056213042              45.00021426302693          5.621309626850573e-07              4050.019334310071              765.7657730282938               765.768173471107          7.262535442254734e-06             34.034034034034036
         4.296984712071099e-12          4.321819804267941e-09           4.29698573232238e-12         1.8678163348726586e-17              45.00000076747816              45.00035440218054          7.674789128948418e-07             4050.0319653948854              810.8108216705166              810.8156734065118         1.0859716801968828e-05              35.03503503503504
        4.2970022091044034e-12          4.321821985296725e-09          4.297003229364056e-12         1.8678182201058864e-17               45.0000005664317              45.00021858917288           5.66432249704399e-07             4050.0197240521943              810.8108186381847              810.8134351588948           7.82738189490211e-06              36.03603603603604
         3.630959010248654e-12          3.991400194539073e-09         3.6309597335494124e-12          1.593130188069847e-17              45.00000077177947              45.00035872832868          7.717802174287398e-07             4050.0323551384204              855.8558674859609              855.8610753737337         1.1630116767095747e-05              37.03703703703704
        3.6309744374407386e-12         3.9914024600856346e-09         3.6309751607477237e-12         1.5931319966333642e-17               45.0000005700663              45.00022258456847          5.700668440322764e-07             4050.0200839666736              855.8558642520476              855.8587010116182          8.396200260135681e-06              38.03803803803804
        3.0783676025443952e-12         3.6940066484179086e-09         3.0783681181626124e-12         1.3645704071253078e-17              45.00000077541408              45.00036272372654          7.754148271992581e-07             4050.0327150542253               900.900913305377              900.9064815058935         1.2404488661303955e-05              39.03903903903904
         3.078381160128489e-12          3.694008960023622e-09         3.0783816757513238e-12          1.364572114959911e-17             45.000000573147744              45.00022628227282          5.731482936000067e-07             4050.0204170390552              900.9009098692718               900.903970714742          8.968380008700388e-06              40.04004004004004
        2.6196165731090196e-12          3.425834020117978e-09         2.6196169432051785e-12         1.1736352458181625e-17              45.00000077849554             45.000366421433206          7.784962903381483e-07              4050.033048127853              945.9459591281546              945.9518914884559          1.318222195336472e-05              41.04104104104105
         2.619628467900456e-12          3.425836347807569e-09          2.619628838000041e-12         1.1736368406868061e-17              45.00000057576998               45.0002297115361          5.757705327823943e-07              4050.020725910316              945.9459554893507              945.9492439849166          9.543414456339226e-06              42.04204204204205
        2.2381018327128778e-12         3.1835406526572835e-09          2.238102100414973e-12         1.0134941105322388e-17              45.00000078111779              45.00036985069882          7.811185414272374e-07             4050.0333570002854               990.991004953787              990.9973050380715           1.39628099572513e-05              43.04304304304305
         2.238112264219692e-12         3.1835429733593452e-09         2.2381125319243357e-12         1.0134955881519873e-17              45.00000057801032             45.000232898263484          5.780108752252521e-07              4050.021012918885              990.9910011118634              990.9945205663979         1.0120882628515226e-05              44.04404404404405
        1.9199985323149955e-12          2.964193473207601e-09          1.919998727550435e-12          8.786450319396019e-18             45.000000783358146              45.00037303742852          7.833588943120466e-07             4050.0336440099577              1036.036050781853             1036.0427218989962          1.474583169686055e-05              45.04504504504505
        1.9200076850838744e-12         2.9641957694101695e-09         1.9200078803212157e-12           8.78646393224892e-18              45.00000057993224             45.000235865424116          5.799327958734507e-07             4050.0212801377056             1036.0360467364592             1036.0398002279032         1.0700434015451514e-05              46.04604604604605
        1.6539270345115945e-12         2.7652189318313527e-09         1.6539271781068906e-12          7.646441211908275e-18              45.00000078528008              45.00037600459145           7.85280824122178e-07             4050.0339112298184             1081.0810966120023             1081.0881418399472         1.5530936661041845e-05              47.04704704704705
        1.6539350746749924e-12         2.7652211904620104e-09         1.6539352182717157e-12          7.646453703183075e-18              45.00000058158783              45.00023863341104          5.815883786343185e-07             4050.0215294068444             1081.0810923628455             1081.0850827598529         1.1281775944634581e-05              48.04804804804805
        1.4305862879234106e-12         2.5843590597046774e-09         1.4305863944406245e-12          6.678915842632204e-18              45.00000078693567              45.00037877258063          7.869364149312587e-07              4050.034160499937             1126.1261424439422             1126.1335646513446         1.6317832176083604e-05              49.04904904904905
        1.4305933623830739e-12         2.5843612712116827e-09         1.4305934689013648e-12          6.678927273333906e-18              45.00000058301985              45.00024122035704           5.83020397047172e-07              4050.021762362108             1126.1261379907774              1126.130367971949         1.1864663219750442e-05             50.050050050050054
        1.2424036592253755e-12         2.4196322492251536e-09          1.242403738907985e-12          5.854623308624279e-18               45.0000007883677              45.00038135952885          7.883684404256545e-07             4050.0343934561256             1171.1711882774273             1171.1789901428908          1.710627304463061e-05             51.051051051051054
        1.2424098963372516e-12          2.419634406831636e-09         1.2424099760206788e-12         5.8546337498883805e-18             45.000000584263496              45.00024364241134          5.842640444334662e-07              4050.021980460098             1171.1711836200484             1171.1756556910523          1.244888966693795e-05             52.052052052052055
        1.0832236375779759e-12         2.2692984398033842e-09         1.0832236976813104e-12          5.149717755641102e-18             45.000000789611356              45.00038378158531          7.896120940553049e-07             4050.0346115549896             1216.2162341122516             1216.2244181414464         1.7896053091918377e-05             53.053053053053056
        1.0832291486278697e-12         2.2693005389068154e-09         1.0832292087318294e-12         5.1497272826536706e-18             45.000000585347806              45.00024591398135          5.853483524391532e-07             4050.0221850000985             1216.2162292504845              1216.220945759317         1.3034281256964285e-05             54.054054054054056
         9.480424574721665e-13           2.13182838898527e-09          9.480425031732239e-13           4.54469407765262e-18              45.00000079069567              45.00038605315743          7.906964075775589e-07              4050.034816095817              1261.261279948241             1261.2698484891655         1.8686998287930823e-05              55.05505505505506
         9.480473384695753e-13          2.131830426676776e-09           9.48047384171113e-13          4.544702765692483e-18               45.0000005862968              45.00024804794371          5.862973439338211e-07             4050.0223771431743             1261.2612748819383             1261.2662380325528         1.3620690514408216e-05             56.056056056056065
         8.327876557300679e-13          2.005876686737472e-09          8.327876907513388e-13          4.023542669467515e-18             45.000000791644666              45.00038818712182          7.916454039581106e-07              4050.035008239674             1306.3063257852482             1306.3152810418578         1.9478961156567292e-05             57.057057057057065
         8.327919892715412e-13          2.005878661418844e-09           8.32792024293184e-13          4.023550591420506e-18              45.00000058713042             45.000250055828275          5.871309652458845e-07             4050.0225579288112             1306.3063205142844              1306.311532378785         1.4207991970454113e-05             58.058058058058066
         7.341379247257427e-13          1.890258156411493e-09           7.34137951764809e-13          3.573076975797201e-18              45.00000079247829              45.00039019500837          7.924790296080538e-07              4050.035189026053             1351.3513716231475             1351.3607156675487          2.027181622842223e-05              59.05905905905907
         7.341417817705265e-13         1.8902600674911374e-09          7.341418088098824e-13         3.5730842006799504e-18             45.000000587865294              45.00025194797858          5.878658380704739e-07             4050.0227282894275             1351.3513661474153             1351.3568286769867          1.479607845860044e-05              60.06006006006007
         6.493773944150453e-13         1.7839272853747745e-09          6.493774154420543e-13           3.18239740288664e-18              45.00000079321317              45.00039208716059          7.932139062935491e-07              4050.035359387372              1396.396417461832             1396.4061522452107          2.106545633648109e-05              61.06106106106107
          6.49380835903375e-13         1.7839291330270907e-09          6.493808569306112e-13         3.1824039950537548e-18              45.00000058851532              45.00025373369158          5.885158655133588e-07              4050.022889063003             1396.3964117812395             1396.4021268159606          1.538485809002378e-05              62.06206206206207
         5.762784843449608e-13         1.6859603403630195e-09          5.762785008099098e-13         2.8424629334707905e-18               45.0000007938632              45.00039387287544          7.938639371813676e-07              4050.035520161615             1441.4414633012095             1441.4515906636473         2.1859789591473543e-05              63.06306306306307
         5.762815626400865e-13         1.6859621253384847e-09          5.762815791052146e-13         2.8424689522767577e-18             45.000000589092174              45.00025542133957          5.890927208695249e-07             4050.0230410040976             1441.4414574156776             1441.4474266933537         1.5974251776902102e-05              64.06406406406407
         5.130080356736636e-13          1.595539843762582e-09          5.130080486518178e-13         2.5457479193884268e-18              45.00000079444006              45.00039556052522          7.944407956189104e-07             4050.0356721033445             1486.4865091412012             1486.4970308205045         2.2654736905187394e-05              65.06506506506507
         5.130107958156886e-13         1.5955415672382669e-09          5.130108087939851e-13         2.5457534191453117e-18               45.0000005896057             45.000257018476546          5.896062424397469e-07             4050.0231847934615             1486.4865030506617             1486.4927282147833         1.6564191197977812e-05              66.06606606606607
         4.580521967574353e-13         1.5119411136492082e-09          4.580522070520666e-13         2.2859663507664473e-18             45.000000794953586             45.000397157663926          7.949543199520375e-07             4050.0358158933113             1531.5315549817385                1531.5424726214         2.3450229956023703e-05              67.06706706706707
         4.580546775425048e-13         1.5119427771114427e-09          4.580546878372495e-13         2.2859713808876463e-18              45.00000059006421              45.00025853193112          5.900647531575168e-07              4050.023321046419              1531.531548686132             1531.5380312930654         1.7154617121700166e-05              68.06806806806807
         4.101563104242618e-13          1.434520599519092e-09         4.1015631863975757e-13           2.05784968690102e-18               45.0000007954121              45.00039867112016          7.954128331530758e-07              4050.035952146843             1576.5766008227624             1576.5879159791498          2.424620951213237e-05              69.06906906906907
         4.101585453304536e-13          1.434522204671655e-09         4.1015855354604045e-13          2.057854292156097e-18              45.00000059047478              45.00025996788767          5.904753200430421e-07              4050.023450320204             1576.5765943220374             1576.5833358475293         1.7745478019197942e-05              70.07007007007007
